human,gender,cause,date_of_birth,date_of_death,country,occupation,religion
Hoda Saber,male,suicide,1959-03-19T00:00:00Z,2011-06-10T00:00:00Z,Iran,essayist,Islam
Ali-Reza Pahlavi,male,suicide,1966-04-28T00:00:00Z,2011-01-04T00:00:00Z,Iran,politician,Islam
Abdulaziz al-Omari,male,suicide,1979-05-28T00:00:00Z,2001-09-11T00:00:00Z,Saudi Arabia,musician,Islam
Grand Duke Michael Alexandrovich of Russia,male,homicide,1878-12-04T00:00:00Z,1918-06-13T00:00:00Z,Russian Empire,military personnel,Orthodox Christianity
Michał Czajkowski,male,suicide,1804-09-29T00:00:00Z,1886-01-18T00:00:00Z,Russian Empire,writer,Islam
Milan Babić,male,suicide,1956-02-26T00:00:00Z,2006-03-05T00:00:00Z,Serbia,dentist,Orthodox Christianity
Michał Czajkowski,male,suicide,1804-09-29T00:00:00Z,1886-01-18T00:00:00Z,Russian Empire,novelist,Islam
François Genoud,male,suicide,1915-10-26T00:00:00Z,1996-05-30T00:00:00Z,Switzerland,publisher,Islam
Michał Czajkowski,male,suicide,1804-09-29T00:00:00Z,1886-01-18T00:00:00Z,Russian Empire,journalist,Islam
François Genoud,male,suicide,1915-10-26T00:00:00Z,1996-05-30T00:00:00Z,Switzerland,banker,Islam
Chris Cornell,male,suicide,1964-07-20T00:00:00Z,2017-05-18T00:00:00Z,United States of America,singer,Greek Orthodox Church
Frederick Octavius Pickard-Cambridge,male,suicide,1860-11-03T00:00:00Z,1905-02-09T00:00:00Z,United Kingdom of Great Britain and Ireland,arachnologist,Anglicanism
Chris Cornell,male,suicide,1964-07-20T00:00:00Z,2017-05-18T00:00:00Z,United States of America,composer,Greek Orthodox Church
Chris Cornell,male,suicide,1964-07-20T00:00:00Z,2017-05-18T00:00:00Z,United States of America,musician,Greek Orthodox Church
Chris Cornell,male,suicide,1964-07-20T00:00:00Z,2017-05-18T00:00:00Z,United States of America,pianist,Greek Orthodox Church
Ali-Reza Pahlavi,male,suicide,1966-04-28T00:00:00Z,2011-01-04T00:00:00Z,Iran,socialite,Islam
Chris Cornell,male,suicide,1964-07-20T00:00:00Z,2017-05-18T00:00:00Z,United States of America,guitarist,Greek Orthodox Church
Chris Cornell,male,suicide,1964-07-20T00:00:00Z,2017-05-18T00:00:00Z,United States of America,singer-songwriter,Greek Orthodox Church
Frank Collins,male,suicide,1957-01-01T00:00:00Z,1998-06-16T00:00:00Z,United Kingdom,Anglican priest,Anglicanism
Michał Czajkowski,male,suicide,1804-09-29T00:00:00Z,1886-01-18T00:00:00Z,Russian Empire,political activist,Islam
Michał Czajkowski,male,suicide,1804-09-29T00:00:00Z,1886-01-18T00:00:00Z,Russian Empire,military personnel,Islam
Herbert Richard Peel,male,suicide,1831-02-08T00:00:00Z,1885-06-02T00:00:00Z,United Kingdom,cricketer,Anglicanism
Chris Cornell,male,suicide,1964-07-20T00:00:00Z,2017-05-18T00:00:00Z,United States of America,songwriter,Greek Orthodox Church
Suleiman II,male,suicide,1642-04-15T00:00:00Z,1691-06-22T00:00:00Z,Ottoman Empire,ruler,Islam
Dmitri Egorov,male,suicide,1869-12-02T00:00:00Z,1931-09-10T00:00:00Z,Russian Empire,mathematician,Orthodox Christianity
Dmitri Egorov,male,suicide,1869-12-22T00:00:00Z,1931-09-10T00:00:00Z,Soviet Union,mathematician,Orthodox Christianity
Shakeb Jalali,male,suicide,1934-10-01T00:00:00Z,1966-11-12T00:00:00Z,India,poet,Islam
Michał Czajkowski,male,suicide,1804-09-29T00:00:00Z,1886-01-18T00:00:00Z,Poland,writer,Islam
Nadezhda Sigida,female,suicide,1862-01-01T00:00:00Z,1889-11-08T00:00:00Z,Russian Empire,politician,Orthodox Christianity
Dmitri Egorov,male,suicide,1869-12-02T00:00:00Z,1931-09-10T00:00:00Z,Russian Empire,university teacher,Orthodox Christianity
Dmitri Egorov,male,suicide,1869-12-22T00:00:00Z,1931-09-10T00:00:00Z,Soviet Union,university teacher,Orthodox Christianity
Anne Boleyn,female,homicide,1501-01-01T00:00:00Z,1536-05-29T00:00:00Z,Kingdom of England,queen consort,Anglicanism
Michał Czajkowski,male,suicide,1804-09-29T00:00:00Z,1886-01-18T00:00:00Z,Poland,novelist,Islam
Michał Czajkowski,male,suicide,1804-09-29T00:00:00Z,1886-01-18T00:00:00Z,Poland,journalist,Islam
Jiah Khan,female,suicide,1988-02-20T00:00:00Z,2013-06-03T00:00:00Z,United States of America,singer,Islam
Chris Cornell,male,suicide,1964-07-20T00:00:00Z,2017-05-18T00:00:00Z,United States of America,banjoist,Greek Orthodox Church
Peter III of Russia,male,homicide,1728-02-21T00:00:00Z,1762-07-17T00:00:00Z,Russian Empire,politician,Orthodox Christianity
Jiah Khan,female,suicide,1988-02-20T00:00:00Z,2013-06-03T00:00:00Z,United States of America,model,Islam
Abdullah Mehsud,male,suicide,1974-01-01T00:00:00Z,2007-07-24T00:00:00Z,Pakistan,musician,Islam
Michał Czajkowski,male,suicide,1804-09-29T00:00:00Z,1886-01-18T00:00:00Z,Poland,political activist,Islam
Michał Czajkowski,male,suicide,1804-09-29T00:00:00Z,1886-01-18T00:00:00Z,Poland,military personnel,Islam
Reem Riyashi,female,suicide,1981-01-01T00:00:00Z,2004-01-14T00:00:00Z,State of Palestine,politician,Islam
Aris Velouchiotis,male,suicide,1905-08-27T00:00:00Z,1945-06-16T00:00:00Z,Greece,politician,Greek Orthodox Church
Boris Berezovsky,male,suicide,1946-01-23T00:00:00Z,2013-03-23T00:00:00Z,Russia,mathematician,Orthodox Christianity
Boris Berezovsky,male,suicide,1946-01-23T00:00:00Z,2013-03-23T00:00:00Z,Russia,politician,Orthodox Christianity
Abu Nidal,male,suicide,1937-05-01T00:00:00Z,2002-08-16T00:00:00Z,Iraq,politician,Islam
Boris Berezovsky,male,suicide,1946-01-23T00:00:00Z,2013-03-23T00:00:00Z,Russia,economist,Orthodox Christianity
Abd al-Muhsin as-Sa'dun,male,suicide,1879-05-02T00:00:00Z,1929-11-13T00:00:00Z,Iraq,politician,Islam
Alexander II of Russia,male,homicide,1818-04-29T00:00:00Z,1881-03-13T00:00:00Z,Russian Empire,politician,Orthodox Christianity
Jorge Eliécer Gaitán,male,homicide,1898-01-23T00:00:00Z,1948-04-09T00:00:00Z,Colombia,lawyer,atheist
Boris Berezovsky,male,suicide,1946-01-23T00:00:00Z,2013-03-23T00:00:00Z,Russia,entrepreneur,Orthodox Christianity
Jorge Eliécer Gaitán,male,homicide,1898-01-23T00:00:00Z,1948-04-09T00:00:00Z,Colombia,politician,atheist
Jorge Eliécer Gaitán,male,homicide,1898-01-23T00:00:00Z,1948-04-09T00:00:00Z,Colombia,university teacher,atheist
Pyotr Stolypin,male,homicide,1862-04-14T00:00:00Z,1911-09-18T00:00:00Z,Russian Empire,politician,Orthodox Christianity
Rudolf von Sebottendorf,male,suicide,1875-11-09T00:00:00Z,1945-05-08T00:00:00Z,Germany,engineer,Islam
Majed Moqed,male,suicide,1977-06-18T00:00:00Z,2001-09-11T00:00:00Z,Saudi Arabia,musician,Islam
Rudolf von Sebottendorf,male,suicide,1875-11-09T00:00:00Z,1945-05-08T00:00:00Z,Germany,astrologer,Islam
Hani Hanjour,male,suicide,1972-08-13T00:00:00Z,2001-09-11T00:00:00Z,Saudi Arabia,aircraft pilot,Islam
Gilles Deleuze,male,suicide,1925-01-18T00:00:00Z,1995-11-04T00:00:00Z,France,historian,Francés
Gilles Deleuze,male,suicide,1925-01-18T00:00:00Z,1995-11-04T00:00:00Z,France,philosopher,Francés
Gilles Deleuze,male,suicide,1925-01-18T00:00:00Z,1995-11-04T00:00:00Z,France,writer,Francés
Gilles Deleuze,male,suicide,1925-01-18T00:00:00Z,1995-11-04T00:00:00Z,France,philosophy historian,Francés
Gilles Deleuze,male,suicide,1925-01-18T00:00:00Z,1995-11-04T00:00:00Z,France,journalist,Francés
Gilles Deleuze,male,suicide,1925-01-18T00:00:00Z,1995-11-04T00:00:00Z,France,university teacher,Francés
Rudolf von Sebottendorf,male,suicide,1875-11-09T00:00:00Z,1945-05-08T00:00:00Z,Turkey,engineer,Islam
Boris Berezovsky,male,suicide,1946-01-23T00:00:00Z,2013-03-23T00:00:00Z,Soviet Union,mathematician,Orthodox Christianity
Dmitri Egorov,male,suicide,1869-12-22T00:00:00Z,1931-09-10T00:00:00Z,Russian Empire,mathematician,Orthodox Christianity
Boris Berezovsky,male,suicide,1946-01-23T00:00:00Z,2013-03-23T00:00:00Z,Soviet Union,economist,Orthodox Christianity
Dmitri Egorov,male,suicide,1869-12-22T00:00:00Z,1931-09-10T00:00:00Z,Russian Empire,university teacher,Orthodox Christianity
Boris Berezovsky,male,suicide,1946-01-23T00:00:00Z,2013-03-23T00:00:00Z,Soviet Union,entrepreneur,Orthodox Christianity
Jorge Eliécer Gaitán,male,homicide,1903-01-26T00:00:00Z,1948-04-09T00:00:00Z,Colombia,lawyer,atheist
Hurshid Pasha,male,suicide,1800-01-01T00:00:00Z,1822-11-30T00:00:00Z,Ottoman Empire,politician,Islam
Jorge Eliécer Gaitán,male,homicide,1903-01-26T00:00:00Z,1948-04-09T00:00:00Z,Colombia,politician,atheist
Rudolf von Sebottendorf,male,suicide,1875-11-09T00:00:00Z,1945-05-08T00:00:00Z,Turkey,astrologer,Islam
Thomas Creech,male,suicide,1659-01-01T00:00:00Z,1700-07-19T00:00:00Z,Kingdom of England,linguist,Anglicanism
Jiah Khan,female,suicide,1988-02-20T00:00:00Z,2013-06-03T00:00:00Z,India,singer,Islam
Jiah Khan,female,suicide,1988-02-20T00:00:00Z,2013-06-03T00:00:00Z,India,actor,Islam
Jorge Eliécer Gaitán,male,homicide,1903-01-26T00:00:00Z,1948-04-09T00:00:00Z,Colombia,university teacher,atheist
Thomas Creech,male,suicide,1659-01-01T00:00:00Z,1700-07-19T00:00:00Z,Kingdom of England,translator,Anglicanism
Jiah Khan,female,suicide,1988-02-20T00:00:00Z,2013-06-03T00:00:00Z,India,model,Islam
Satam al-Suqami,male,suicide,1976-06-28T00:00:00Z,2001-09-11T00:00:00Z,Saudi Arabia,musician,Islam
Dmitri Egorov,male,suicide,1869-12-02T00:00:00Z,1931-09-10T00:00:00Z,Soviet Union,mathematician,Orthodox Christianity
Frederick Octavius Pickard-Cambridge,male,suicide,1860-11-03T00:00:00Z,1905-02-09T00:00:00Z,United Kingdom of Great Britain and Ireland,zoologist,Anglicanism
Dmitri Egorov,male,suicide,1869-12-02T00:00:00Z,1931-09-10T00:00:00Z,Soviet Union,university teacher,Orthodox Christianity
Giovanni Preziosi,male,suicide,1881-10-24T00:00:00Z,1945-04-27T00:00:00Z,Kingdom of Italy,politician,Catholicism
Yukio Mishima,male,suicide,1925-01-14T00:00:00Z,1970-11-25T00:00:00Z,Japan,critic,Buddhism
Husayn ibn Ali,male,homicide,0626-01-13T00:00:00Z,0680-10-13T00:00:00Z,Umayyad Caliphate,theologian,Islam
Sen no Rikyū,male,suicide,1522-01-01T00:00:00Z,1591-04-21T00:00:00Z,Japan,bhikkhu,Buddhism
Husayn ibn Ali,male,homicide,0626-01-13T00:00:00Z,0680-10-13T00:00:00Z,Umayyad Caliphate,statesperson,Islam
Yukio Mishima,male,suicide,1925-01-14T00:00:00Z,1970-11-25T00:00:00Z,Japan,actor,Buddhism
Yukio Mishima,male,suicide,1925-01-14T00:00:00Z,1970-11-25T00:00:00Z,Japan,film director,Buddhism
Ibrahim I,male,homicide,1615-11-05T00:00:00Z,1648-08-18T00:00:00Z,Ottoman Empire,ruler,Islam
Yukio Mishima,male,suicide,1925-01-14T00:00:00Z,1970-11-25T00:00:00Z,Japan,playwright,Buddhism
Yukio Mishima,male,suicide,1925-01-14T00:00:00Z,1970-11-25T00:00:00Z,Japan,writer,Buddhism
Yodo-dono,female,suicide,1567-01-01T00:00:00Z,1615-01-01T00:00:00Z,Tokugawa shogunate,samurai,Buddhism
Tai Chi-tao,male,suicide,1891-01-06T00:00:00Z,1949-02-21T00:00:00Z,China,politician,Buddhism
Yukio Mishima,male,suicide,1925-01-14T00:00:00Z,1970-11-25T00:00:00Z,Japan,novelist,Buddhism
Yukio Mishima,male,suicide,1925-01-14T00:00:00Z,1970-11-25T00:00:00Z,Japan,poet,Buddhism
Yukio Mishima,male,suicide,1925-01-14T00:00:00Z,1970-11-25T00:00:00Z,Japan,screenwriter,Buddhism
Konrad Henlein,male,suicide,1898-05-06T00:00:00Z,1945-05-10T00:00:00Z,Austria-Hungary,sports educator,Catholicism
Henri Christophe,male,suicide,1767-10-06T00:00:00Z,1820-10-08T00:00:00Z,Haiti,politician,Catholicism
Yukio Mishima,male,suicide,1925-01-14T00:00:00Z,1970-11-25T00:00:00Z,Japan,model,Buddhism
Soad Hosny,female,suicide,1943-01-26T00:00:00Z,2001-06-21T00:00:00Z,Egypt,actor,Islam
Yukio Mishima,male,suicide,1925-01-14T00:00:00Z,1970-11-25T00:00:00Z,Japan,essayist,Buddhism
Yukio Mishima,male,suicide,1925-01-14T00:00:00Z,1970-11-25T00:00:00Z,Japan,translator,Buddhism
Alexander Litvinenko,male,homicide,1962-08-30T00:00:00Z,2006-11-23T00:00:00Z,Russia,writer,Islam
Yukio Mishima,male,suicide,1925-01-14T00:00:00Z,1970-11-25T00:00:00Z,Japan,film actor,Buddhism
Ludwig II of Bavaria,male,suicide,1845-08-25T00:00:00Z,1886-06-13T00:00:00Z,Kingdom of Bavaria,art collector,Catholicism
Waleed al-Shehri,male,suicide,1978-12-20T00:00:00Z,2001-09-11T00:00:00Z,Saudi Arabia,terrorism,Islam
Mary Ure,female,suicide,1933-02-18T00:00:00Z,1975-04-03T00:00:00Z,United Kingdom,film actor,Catholicism
Alexander Litvinenko,male,homicide,1962-08-30T00:00:00Z,2006-11-23T00:00:00Z,Russia,journalist,Islam
Kieran Doherty,male,suicide,1955-10-16T00:00:00Z,1981-08-02T00:00:00Z,Northern Ireland,politician,Catholicism
Gilbert Romme,male,suicide,1750-03-26T00:00:00Z,1795-06-17T00:00:00Z,France,mathematician,Catholicism
Gilbert Romme,male,suicide,1750-03-26T00:00:00Z,1795-06-17T00:00:00Z,France,politician,Catholicism
Abu Nidal,male,homicide,1937-05-01T00:00:00Z,2002-08-16T00:00:00Z,Iraq,politician,Islam
Husayn ibn Ali,male,homicide,0626-01-11T00:00:00Z,0680-10-13T00:00:00Z,Umayyad Caliphate,theologian,Islam
Taira no Koremori,male,suicide,1160-01-01T00:00:00Z,1184-05-10T00:00:00Z,Japan,samurai,Buddhism
Husayn ibn Ali,male,homicide,0626-01-11T00:00:00Z,0680-10-13T00:00:00Z,Umayyad Caliphate,statesperson,Islam
Konrad Henlein,male,suicide,1898-05-06T00:00:00Z,1945-05-10T00:00:00Z,Germany,lawyer,Catholicism
Konrad Henlein,male,suicide,1898-05-06T00:00:00Z,1945-05-10T00:00:00Z,Germany,politician,Catholicism
Mary Ure,female,suicide,1933-02-18T00:00:00Z,1975-04-03T00:00:00Z,United Kingdom,stage actor,Catholicism
Yukio Mishima,male,suicide,1925-01-14T00:00:00Z,1970-11-25T00:00:00Z,Japan,lyricist,Buddhism
Konrad Henlein,male,suicide,1898-05-06T00:00:00Z,1945-05-10T00:00:00Z,Czechoslovakia,lawyer,Catholicism
Sen no Rikyū,male,suicide,1522-01-01T00:00:00Z,1591-04-21T00:00:00Z,Japan,tea master,Buddhism
Konrad Henlein,male,suicide,1898-05-06T00:00:00Z,1945-05-10T00:00:00Z,Czechoslovakia,politician,Catholicism
Nizar Rayan,male,homicide,1959-03-06T00:00:00Z,2009-01-01T00:00:00Z,State of Palestine,politician,Islam
Rashaan Salaam,male,suicide,1974-10-08T00:00:00Z,2016-12-05T00:00:00Z,United States of America,American football player,Islam
Konrad Henlein,male,suicide,1898-05-06T00:00:00Z,1945-05-10T00:00:00Z,Nazi Germany,lawyer,Catholicism
Konrad Henlein,male,suicide,1898-05-06T00:00:00Z,1945-05-10T00:00:00Z,Nazi Germany,politician,Catholicism
Mohamed Bouazizi,male,suicide,1984-03-29T00:00:00Z,2011-01-04T00:00:00Z,Tunisia,hawker,Islam
Husni al-Za'im,male,homicide,1897-01-01T00:00:00Z,1949-08-14T00:00:00Z,Syria,politician,Islam
Husni al-Za'im,male,homicide,1897-01-01T00:00:00Z,1949-08-14T00:00:00Z,Syria,soldier,Islam
Charles Boyer,male,suicide,1899-08-28T00:00:00Z,1978-08-26T00:00:00Z,France,actor,Catholicism
Kieran Doherty,male,suicide,1955-10-16T00:00:00Z,1981-08-02T00:00:00Z,Ireland,politician,Catholicism
Charles Boyer,male,suicide,1899-08-28T00:00:00Z,1978-08-26T00:00:00Z,France,screenwriter,Catholicism
Charles Boyer,male,suicide,1899-08-28T00:00:00Z,1978-08-26T00:00:00Z,France,film producer,Catholicism
Charles Boyer,male,suicide,1899-08-28T00:00:00Z,1978-08-26T00:00:00Z,France,film actor,Catholicism
Said Afandi al-Chirkawi,male,homicide,1937-10-21T00:00:00Z,2012-08-28T00:00:00Z,Russia,writer,Islam
Konrad Henlein,male,suicide,1898-05-06T00:00:00Z,1945-05-10T00:00:00Z,Germany,sports educator,Catholicism
Charles Boyer,male,suicide,1899-08-28T00:00:00Z,1978-08-26T00:00:00Z,France,television producer,Catholicism
Musa Mamut,male,suicide,1931-02-20T00:00:00Z,1978-06-28T00:00:00Z,Soviet Union,public figure,Islam
Konrad Henlein,male,suicide,1898-05-06T00:00:00Z,1945-05-10T00:00:00Z,Czechoslovakia,sports educator,Catholicism
Osman II,male,homicide,1604-11-03T00:00:00Z,1622-05-20T00:00:00Z,Ottoman Empire,ruler,Islam
Konrad Henlein,male,suicide,1898-05-06T00:00:00Z,1945-05-10T00:00:00Z,Nazi Germany,sports educator,Catholicism
Jiah Khan,female,suicide,1988-02-20T00:00:00Z,2013-06-03T00:00:00Z,United States of America,actor,Islam
Charles Boyer,male,suicide,1899-08-28T00:00:00Z,1978-08-26T00:00:00Z,France,stage actor,Catholicism
Paul Maki,male,suicide,1941-08-02T00:00:00Z,2005-04-22T00:00:00Z,Japan,actor,Buddhism
Paul Maki,male,suicide,1941-08-02T00:00:00Z,2005-04-22T00:00:00Z,Japan,comedian,Buddhism
"Rudolf, Crown Prince of Austria",male,suicide,1858-08-21T00:00:00Z,1889-01-30T00:00:00Z,Austria,military officer,Catholicism
Paul Maki,male,suicide,1941-08-02T00:00:00Z,2005-04-22T00:00:00Z,Japan,owarai tarento,Buddhism
Abdülaziz,male,homicide,1830-02-21T00:00:00Z,1876-06-04T00:00:00Z,Ottoman Empire,ruler,Islam
Alexander Litvinenko,male,homicide,1962-12-04T00:00:00Z,2006-11-23T00:00:00Z,Russia,writer,Islam
Li Zhi,male,suicide,1527-12-03T00:00:00Z,1602-01-01T00:00:00Z,Ming dynasty,philosopher,Buddhism
Marwan al-Shehhi,male,suicide,1978-05-09T00:00:00Z,2001-09-11T00:00:00Z,United Arab Emirates,terrorist,Islam
Alexander Litvinenko,male,homicide,1962-12-04T00:00:00Z,2006-11-23T00:00:00Z,Russia,journalist,Islam
Murad I,male,homicide,1326-06-29T00:00:00Z,1389-07-06T00:00:00Z,Ottoman Empire,ruler,Islam
Safet Butka,male,suicide,1901-08-10T00:00:00Z,1943-09-19T00:00:00Z,Albania,politician,Islam
Li Zhi,male,suicide,1527-12-03T00:00:00Z,1602-01-01T00:00:00Z,Ming dynasty,teacher,Buddhism
Said Afandi al-Chirkawi,male,homicide,1937-10-21T00:00:00Z,2012-08-28T00:00:00Z,Soviet Union,writer,Islam
Bruce Edwards Ivins,male,suicide,1946-04-22T00:00:00Z,2008-07-29T00:00:00Z,United States of America,scientist,Catholicism
Max Koegel,male,suicide,1895-10-16T00:00:00Z,1946-06-27T00:00:00Z,Germany,torturer,Catholicism
Bruce Edwards Ivins,male,suicide,1946-04-22T00:00:00Z,2008-07-29T00:00:00Z,United States of America,politician,Catholicism
Wail al-Shehri,male,suicide,1973-07-31T00:00:00Z,2001-09-11T00:00:00Z,Saudi Arabia,terrorism,Islam
Jean-Baptiste Cousin de Grainville,male,suicide,1746-04-03T00:00:00Z,1805-02-01T00:00:00Z,France,playwright,Catholicism
"Rudolf, Crown Prince of Austria",male,suicide,1858-08-21T00:00:00Z,1889-01-30T00:00:00Z,Austria,naturalist,Catholicism
Jean-Baptiste Cousin de Grainville,male,suicide,1746-04-03T00:00:00Z,1805-02-01T00:00:00Z,France,poet,Catholicism
Robert Harron,male,suicide,1893-04-12T00:00:00Z,1920-09-05T00:00:00Z,United States of America,actor,Catholicism
Paul Maki,male,suicide,1941-08-02T00:00:00Z,2005-04-22T00:00:00Z,Japan,tarento,Buddhism
Abu Nidal,male,homicide,1937-05-01T00:00:00Z,2002-08-16T00:00:00Z,State of Palestine,politician,Islam
Jean-Baptiste Cousin de Grainville,male,suicide,1746-04-03T00:00:00Z,1805-02-01T00:00:00Z,France,translator,Catholicism
Andrew Kehoe,male,suicide,1872-02-01T00:00:00Z,1927-05-18T00:00:00Z,United States of America,spree killer,Catholicism
Bruce Edwards Ivins,male,suicide,1946-04-22T00:00:00Z,2008-07-29T00:00:00Z,United States of America,biologist,Catholicism
Robert Harron,male,suicide,1893-04-12T00:00:00Z,1920-09-05T00:00:00Z,United States of America,film actor,Catholicism
Bruce Edwards Ivins,male,suicide,1946-04-22T00:00:00Z,2008-07-29T00:00:00Z,United States of America,circus performer,Catholicism
Yodo-dono,female,suicide,1567-01-01T00:00:00Z,1615-01-01T00:00:00Z,Ashikaga shogunate,samurai,Buddhism
Konrad Henlein,male,suicide,1898-05-06T00:00:00Z,1945-05-10T00:00:00Z,Austria-Hungary,lawyer,Catholicism
Konrad Henlein,male,suicide,1898-05-06T00:00:00Z,1945-05-10T00:00:00Z,Austria-Hungary,politician,Catholicism
Jean-Baptiste Cousin de Grainville,male,suicide,1746-04-03T00:00:00Z,1805-02-01T00:00:00Z,France,science fiction writer,Catholicism
Sheila Abdus-Salaam,female,suicide,1952-03-14T00:00:00Z,2017-04-12T00:00:00Z,United States of America,lawyer,Islam
Sheila Abdus-Salaam,female,suicide,1952-03-14T00:00:00Z,2017-04-12T00:00:00Z,United States of America,judge,Islam
Emperor Gong of Song,male,suicide,1271-11-16T00:00:00Z,1323-01-01T00:00:00Z,Song dynasty,poet,Buddhism
Edward V of England,male,homicide,1470-11-13T00:00:00Z,1483-01-01T00:00:00Z,Kingdom of England,politician,Catholicism
Yodo-dono,female,suicide,1567-01-01T00:00:00Z,1615-01-01T00:00:00Z,Japan,samurai,Buddhism
Emperor Gong of Song,male,suicide,1271-11-16T00:00:00Z,1323-01-01T00:00:00Z,Song dynasty,Imperial prince,Buddhism
Anthony Bourdain,male,suicide,1956-06-25T00:00:00Z,2018-06-08T00:00:00Z,United States of America,journalist,atheism
Jim Jones,male,suicide,1931-05-13T00:00:00Z,1978-11-18T00:00:00Z,United States of America,sect leader,Christianity
Boris Pugo,male,suicide,1937-02-19T00:00:00Z,1991-08-22T00:00:00Z,Soviet Union,politician,atheism
Anthony Bourdain,male,suicide,1956-06-25T00:00:00Z,2018-06-08T00:00:00Z,United States of America,cook,atheism
Thomas M. Disch,male,suicide,1940-02-02T00:00:00Z,2008-07-04T00:00:00Z,United States of America,children's writer,atheism
Jean-Antoine-Nicolas de Caritat de Condorcet,male,suicide,1743-09-17T00:00:00Z,1794-03-29T00:00:00Z,France,mathematician,atheism
Jean-Antoine-Nicolas de Caritat de Condorcet,male,suicide,1743-09-17T00:00:00Z,1794-03-29T00:00:00Z,France,philosopher,atheism
